Comentario,Polaridad,Aspectos
los nombres de las clases son adecuados faltan algunas clases para complementar la funcionalidad posee una estructura bastante adecuada los atributos y metodos son importantes la herencia utilizada no es la adecuada la informacion es detallada y coherente,0,"nombres, clases"
los atributos utilizados son adecuados expresan de forma correcta las propiedades de las clases si indican los tipos de datos y denotan visibilidad,1,"atributos, forma"
los nombres de los metodos son adecuados expresan la accion a realizar en la clase los metodos indican funcionalidad y especifican medianamente el tipo de dato de retorno,1,"nombres, metodos"
algunas cardinalidades son incorrectas los roles no se especifican bien y la direccion de navegacion es algo confusa,-1,"cardinalidades, roles"
los nombres de las clases son los correctos se detectan que existen mas clases de lo que se indican en el diagrama de caso de uso la estructura no es la adecuada ya que los atributos no estan bien definidos y existe redundancia entre ellos los metodos estan incorrectos ya que unas clases no necesariamente los utiliza en la funcionalidad,-1,"nombres, clases"
los nombre de los atributos si estan bien especificados expresan claramente una propiedad de la clase en esta parte los atributos y sus tipos de datos no estan bien relacionado ya que en clases diferentes usa el mismo atributo con tipos de datos diferentes no existe una relacion clara y especifica entre el tipo de dato y el atributo que se especifica,0,"nombre, atributos"
se representa claramente los nombres de los metodos si estan bien especificados existe un error ya que no representan una funcionalidad adecuada con los atributos a la vez no expresan un valor de entrada o retorno a las clases llamadas,0,"nombres, metodos"
las cardinalidades si estan bien expresadas pero existe un error en la navegacion de las asociaciones,0,"cardinalidades, error"
todas las clases empiezan con mayusculas como se debe,1,"clases, mayusculas"
los atributos de gerente empleado cliente empiezan con mayuscula y convencion de las clases indica que se debe empezar solo las clases con mayuscula tambien en la clase reserva tiene  atributos que empiezan con mayuscula tambien en gerente se tiene un atributo llamado correo que es de tipo doble en vez de string,0,"atributos, gerente"
los metodos de la clase automovil podrian escribirse de una manera mas entendible como el metodo de ingresar datos o actualizar,-1,"metodos, clase"
las cardinalidades y las relaciones entre clases son las correctas,1,"cardinalidades, relaciones"
las clases estan claras se pueden visualizar correctamente,1,clases
se pueden visualizar correctamente los atributos que estan correctos,1,"atributos, correctos"
los metodos no retornan valor mediante el void todos tienes string y algunos metodos no se encuentra en la clase que deberian estar,-1,"metodos, valor"
las asociaciones no se encuentran correctas,-1,"asociaciones, correctas"
los nombres de las clases son adecuados son sustantivos e inician con mayusculas pero una clases esta mal escrita aparentemente se detectan todas las clases correctamente en su mayoria las clases tienen la estructura adecuada la informacion esta medianamente detallada y coherente,0,"nombres, clases"
los nombres de lo atributos son adecuados los atributos indican sus tipos de datos y visibles,1,"nombres, atributos"
los nombres de los metodos son adecuados los metodos indican solo el tipo de dato los metodos aplicados indican funcionalidad de las clases basados en los requerimientos,1,"nombres, metodos"
las cardinalidades se denotan medianamente correctas no se especifican los roles,0,"cardinalidades, roles"
los nombre de las clases estan correctamente escritos sin embargo presentan clases de mas usando objetos no existentes en los casos de uso,0,"nombre, clases"
los atributos estan bien especificadas,1,atributos
los metodos estan bien especificadas,1,metodos
cardinalidades se denotan de forma correcta la direccion de navegacion de todas las asociaciones se especifica de forma correcta,1,"cardinalidades, forma"
uno de sus nombre no es sustantivo en el caso de login pero si todos tienen mayusculas su estructura si es adecuada y su informacion es detallada y coherente,0,"nombre, caso"
los nombres de los atributos si son sustantivos y expresa la propiedad de la clase el tipo de dato son correctos,1,"nombres, atributos"
en los nombres de los metodos uno no es correcto que es dato ya que no es un verbo el tipo de dato son confuso ya que tiene muchos en uno y unos dicen booleano y por lo tanto influye en su funcionalidad,-1,"nombres, metodos"
sus cardinalidades estan bien aplicadas los roles estan entendibles y considero correcta la direccion de navegacion,1,"cardinalidades, roles"
en las clase se observa una buena aplicacion de los metodos con respecto cuando son subclases los atributos estan bien definidos con respecto al sistema los nombre clase estan adecuado,1,"clase, metodos"
los nombre de los atributos expresan claramente la propiedad de cada clase se indica que tipo de dato pertenece,1,"nombre, atributos"
los metodos son verbos y representa claramente la propiedad de cada clase,1,"metodos, verbos"
las asociaciones se observa una buena aplicada en las clases del diagrama,1,"asociaciones, clases"
los nombres de las clases son sustantivos se logra detectar globalmente todas las clases,1,"nombres, clases"
los atributos estan bien especificados cada atributo cuenta con su visibilidad y el tipo de dato,1,"atributos, atributo"
los metodos si tienen argumentos no tiene el tipo de valor de retorno si cuentan con el tipo de dato,0,"metodos, argumentos"
la direccion de navegacion de la herencia entre las clases usuario cliente empleados es la adecuada las cardinalidades estan bien descritas,1,"direccion, navegacion"
las clases muestran una estructura correcta existen clases que no muestran una informacion correcta sobre que objeto se quiere manipular hay clases que no deberian existir los nombres de las clases se deberian mejorar,0,"clases, estructura"
existen atributos que no se entienden de forma adecuada o no representan correctamente una propiedad de la clase el tipo de dato asignado a los atributos se encuentran de forma correcta,0,"atributos, forma"
existen metodos que no son claros sobre la funcionalidad que van a ejercer o ejecutar hay muchos metodos que retornan valores inapropiados como datos booleanos en metodos que deben retornar datos,-1,"metodos, funcionalidad"
muchas asociaciones se encuentran realizadas de forma incorrecta no existe un uso correcto de la obligatoriedad y de la cardinalidad de manera que entorpece o distorsiona el entendimiento del diagrama de clases,-1,"asociaciones, forma"
los nombres de las clases son los adecuados compuestos de sustantivos y todos empiezan con mayusculas las clases tienen la estructura correcta cada uno poseen sus metodos y atributos,1,"nombres, clases"
los nombres de los atributos se encuentran de manera correcta conformadas de sustantivos todos los atributos expresan propiedades de la clases los atributos poseen su tipo de dato,1,"nombres, atributos"
los metodos poseen su tipo de dato mostrando asi las funcionalidades que se requieren plasmar los metodos no indican todas funcionalidad correcta de los requerimientos los nombres de los metodos estan formados de verbos,0,"metodos, tipo"
las cardinalidades de todas las asociaciones no estan correctas los roles se encuentran correctos mostrando asi sus funcionalidades estan correctas las direcciones de navegacion entre las asociaciones,0,"cardinalidades, asociaciones"
los nombres de cada clases son correctos al empezar todos sus nombres en mayuscula cada clase contiene sus atributos correspondiente como sus metodos,1,"nombres, clases"
todas las clases tiene sus atributos correctamente,1,"clases, atributos"
en algunas clases sus metodos no son verbos la funcionalidad es correcta,0,"clases, metodos"
todas las cardinalidades estan de manera correcta la direccion de las asolaciones se utilizo de manera adecuada,1,"cardinalidades, manera"
existen clases innecesarias o no estan definidas correctamente no se puede entender la estructura de las mismas,-1,"clases, estructura"
existen atributos faltantes o estan de mas los atributos existentes no reflejan el funcionamiento de la clase,-1,"atributos, atributos"
no se encuentra coherencia entre los metodos y hacen falta metodos que relacionen las clases,-1,"coherencia, metodos"
aunque se puede apreciar las cardinalidades al estar mal disenado el diagrama de clases este carece de sentido se encuentran inconsistencias en la comunicacion entre las clases por lo cual se hace dificil el entendimiento del mismo,-1,"cardinalidades, diagrama"
los nombres escogidos se adaptan todos menos la clase alquiler que deberia representar los contratos cosa que hace en los casos de uso mas no aqui en el diagrama de clases el diagrama de clases posee la estructura adecuada con sus atributos y metodos el diagrama de clases no llega a representar de manera correcta las clases usuario cliente empleado y gerente las clases usuario cliente empleado y gerente tienen el metodo datos los cual se puede representar como un error el diagrama de clases arrastra el error de herencia encontrado en el diagrama de casos de uso falta una clase para gestionar las furgonetas la clase gestionar se pudo evitar la clase gestionar tambien se la pudo llamar de manera diferente para representar mejor la idea que queria expresarse,-1,"nombres, clase"
generalmente los atributos estan bien definidos y representan bien las propiedades de su clase faltan uno que otro atributo en ciertas clases,1,"atributos, propiedades"
no todos los nombres de los metodos contienen verbos pero representan de manera suficiente la funcionalidad de metodo los metodos tienen los tipos de datos de los parametros los metodos no tienen tipo de datos en los valores de retorno donde la mayoria de metodos que deberian retornar un void retornan un bolean el mayor error es retornar un tipo de dato login en el metodo registrar de la clase login,-1,"nombres, metodos"
las cardinalidades estan incorrectas por los numerosos errores logicos que se pueden encontrar entre las clases existen clases que clases que son innecesarias las cuales crean asociaciones innecesarias en la obligatoriedad no parece haber errores notables,-1,"cardinalidades, errores"
los nombres de las clases estan correctos son sustantivos y todos empiezan con mayusculas las clase tienen la estructura adecuada cada uno posee sus atributos y metodos  la informacion representada se encuentra de manera coherente,1,"nombres, clases"
los nombres de los atributos estan correctos pues estan compuestos de sustantivos los nombres de los atributos si expresan propiedades de la clases los atributos tienen su tipo de dato pero no todos tienen los valores de retorno necesarios,0,"nombres, atributos"
los nombres de los metodos estan correctos pues estan formados de verbos todos los metodos poseen su tipo de dato los metodos no indican todas las funcionalidad requeridas,1,"nombres, metodos"
todas las clases poseen las direcciones de navegacion entre todas las asociaciones no todas las cardinalidades estan correctas los roles mostrados son los necesarios par el correcto funcionamiento del sistema,0,"clases, direcciones"
existen nombres de clase que estan escrita mal y no encuentran todos las clases segun el metodo de estudio existen confusion al momento de observar los metodos que cada uno de la clases,-1,"nombres, clase"
existen atributos faltantes con respecto a cada clase no existe coherencia al momento de realizar los metodos de cada uno los metodos de la clase login no tiene sentido con respecto a la clase,-1,"atributos, respecto"
los metodos de cada clase estan mal formulado debido a que existen mucha confusion al momento de realizar la clase no esta entendible con que desea realizar los metodos,-1,"metodos, clase"
la cardinalidad de cada clase no esta especificada no contiene ninguna asociacion o agregacion,-1,"cardinalidad, clase"
realizando un valoracion global el diagrama de clases presenta los nombres de las clases de forma adecuada tambien tiene uso de atributos y metodos en cada clase pero en cierta clase la estructura es deficiente ya que no presenta atributos adecuados o simplemente no existe ningun atributo,0,"valoracion, diagrama"
en forma general los atributos estan formulados de forma correcta pero en una revision detallada de cada clase se evidencia que en cierta clase no existen atributos o los atributos no concuerdan con la clase como un punto a favor los atributos si presentan su tipo de dato y tienen buena visibilidad,0,"forma, atributos"
los metodos implementados tienen cierta deficiencia ya que se presentan como verbo infinitivo no presentan el tipo de dato o el tipo de retorno que devuelve,-1,"metodos, deficiencia"
las asociaciones implementadas estan bien especificas y definida pero se necesitaria evaluar ciertas asociaciones y evaluar si es la asociacion correcta entre esas clases existe aislamiento entre clases que tienen cierta relacion,0,"asociaciones, asociaciones"
los sustantivos de los nombres de las clases se los observa bastante bien pero los faltan atributos y metodos que son necesarios para el funcionamiento,0,"sustantivos, nombres"
los atributos no expresan una propiedad de la clase y no se detectan todos los atributos correctamente,-1,"atributos, propiedad"
la mayoria de los metodos no estan bien y en la clase persona no existe el metodo consultar_persona,-1,"mayoria, metodos"
no tiene cardinalidades y no se observa casi nada de funcionamiento en el diagrama,-1,"cardinalidades, funcionamiento"
la mayoria de clases se encuentran bien solo faltaria la clase furgoneta,1,"mayoria, clases"
los atributos tienen tipos de datos correctos menos en genero que lo pone tipo int en vez de varchar o string,1,"atributos, tipos"
se encuentran metodos en forma de verbos de forma correcta pero no deberia estar todo en la clase automovil deberia existir clase furgoneta,0,"forma, verbos"
no se encuentran ninguna de las diferentes asociaciones que podrian aparecer de    ,-1,asociaciones
en el presente diagrama de clases se pueden ver bien a detalle los nombres de las clases estan bien estructurado pero hacen falta unos parametros importantes como por ejemplo en la clase del gerente no tiene atributos y esto puede generar un numero de inconvenientes a la hora de realizar algun tipo de manejo en el sistema ya que no se especifica como puede acceder al sistema como tal,0,"diagrama, clases"
los nombres de los atributos estan bien redactados pero sin embargo ha quedado una clase la cual no se presentan atributos que haria tal actor puesto que este tiene un cargo diferente es algo logico que deba presentar atributos diferentes a los demas,0,"nombres, atributos"
los metodos que han sido utilizados en el diagrama de clases estan detallados con la especificacion de que mismo debe hacer cada uno en cada clase pero no estan bien formulados todos los metodos,0,"metodos, diagrama"
en el diagrama de clases presente estan en su mayoria bien relacionadas las cardinalidades pero con respecto a las asociaciones hay ciertas asociaciones en las cuales se deben analizar bien a detalle ya que hay unas que no han sido bien utilizadas,0,"diagrama, clases"
los nombres de las clases son adecuados para cada objeto poseen una estructura correcta la informacion que muestran no es tan clara pero se logra entender sin problemas hacen falta otras clases para manejar mejor los objetos,0,"nombres, clases"
los atributos son adecuados pero son muy pocos los atributos para las propiedades que deberian manejarse en cada una de las clases los atributos tienen definido el tipo de dato con los que se manejaran se entienden correctamente los atributos,0,"atributos, atributos"
el nombre de los metodos son adecuados muestran claramente la funcion que van a realizar como no se manejaron bien las clases existen metodos que hacen falta o que estan en una clase que no deberian estar los metodos no especifican los argumentos que necesitan o el tipo de dato que devuelven,0,"nombre, metodos"
no existe cardinalidad alguna por lo cual es dificil entender el flujo de informacion existen asociaciones pero muy generalista lo cual provoca que no se entiendan las asociaciones,-1,"cardinalidad, flujo"
los nombre de las clases son correctos ya que todos empiezan con mayuscula,1,"nombre, clases"
la clase gerente no tiene atributos,-1,"clase, atributos"
los metodos van acorde a su respectiva clase,1,"metodos, clase"
se esta uniendo lineas pero no se indica que cardinalidad lleva si es obligatorio o si es de  a  o de  a n o de n a ,-1,"lineas, cardinalidad"
los nombres de las clases son adecuados faltan las clases furgoneta y reserva hay que tomar en cuenta que los objetos no estan definidos como se encuentran en el diagrama de casos de uso para cada clase se indica la estructura adecuada atributos y metodos importantes,0,"nombres, clases"
los nombres de los atributos son adecuados se indican correctamente los tipos de dato y se han detectado todos los atributos correctamente,1,"nombres, atributos"
en la clase gerente hay metodos que no pertenecen a dicha clase  los tipos de dato que devuelve cada metodo es correcto y tienen la funcionalidad correcta de los requerimientos descritos faltan los metodos relacionados a la furgoneta,0,"clase, clase"
existe generalizacion entre las clases empleado cliente y gerente hacia la clase persona la cual esta aplicada correctamente pero no hay composicion ni agregacion las cuales son necesarias en algunas clases,0,"generalizacion, clases"
los nombres de las clases son adecuados son sustantivos y empieza con mayusculas se puede detectan todas las clases correctamente se indica la estructura adecuada contienen atributos y metodos importantes y la informacion reportada es detallada y coherente,1,"nombres, clases"
los nombres de los atributos son adecuados se expresan claramente y se indica el tipo de dato que es en retrospectiva se aprecian todos los atributos,1,"nombres, atributos"
los nombres de los metodos son adecuados se expresan claramente se indica los argumentos tipo de dato tipo de valor de retorno y visibilidad adecuada pero no se aprecian las funcionalidades correctamente en retrospectiva se puede mejorar,0,"nombres, metodos"
no se aprecian las cardinalidades aunque este bien disenado carece de las carnalidades de las clases dicho esto se aprecian los mensajes y la direccion de navegacion es correcta,0,"cardinalidades, bien"
los nombres de las clases tienen la sintaxis adecuada no se detectan todas las clases correctamente vehiculo podria ser una generalizacion de automovil y a la vez de furgoneta que no se encuentra en el diagrama,0,"nombres, clases"
los nombres de los atributos en las clases encontradas son adecuados son sustantivos o adjetivos y expresan una propiedad de la clase se indica el tipo de dato y la visibilidad adecuada,1,"nombres, atributos"
los nombres de los metodos son adecuados son verbos se indica los argumentos tipo de dato tipo de valor de retorno y visibilidad adecuada observacion los metodos descritos en la clase gerente que realizan gestion con automoviles deberian ser metodos de la clase automovil en la clase empleado y contrato se encuentra una duplicacion del metodo registrar_contrato y deberia ser un metodo de la clase contrato,0,"nombres, metodos"
no existe multiplicidad ni asociaciones unicamente generalizacion,-1,"multiplicidad, asociaciones"
los nombres de las clases son adecuados el diagrama de clases posee una estructura adecuada con sus atributos y metodos bien definidos el diagrama de clases no llega a representar de manera correcta todas las funcionalidades,0,"nombres, clases"
algunas clases tienen sus atributos bien definidos y representan bien las propiedades de su clase algunas clases no contienen los suficientes atributos la clase gerente no posee atributos se indica el tipo de dato y la visibilidad de los atributos de manera adecuada,0,"clases, atributos"
todos los nombres de los metodos contienen verbos los nombres de los metodos representan de manera correcta la funcionalidad de metodo los metodos no tienen los tipos de datos de los parametros los metodos no tienen los tipo de datos en los valores de retorno los metodos representan correctamente los requerimientos,0,"nombres, metodos"
las cardinalidades fueron omitidas la obligatoriedad fue omitida la direccion de navegacion es apenas suficiente,-1,"cardinalidades, obligatoriedad"
las clases estan claras se pueden visualizar correctamente se encuentran bien planteada,1,clases
algunos atributos no estan correctos le falta identificar los atributos,-1,"atributos, correctos"
los metodos no retornan valor mediante el void y algunos no se encuentra en la clase que deberia estar,-1,"metodos, valor"
no se identifican nada ni las cardinalidades en algunos esta mal definido las lineas de asociacion no tiene sentido,-1,"cardinalidades, lineas"
los nombres de las clases esta correcto no existen todas las clases segun corresponde al caso de uso en la clase gerente no existen atributos eso es un error grave para realizar una clase la informacion de cada clase esta erronea y confusa,-1,"nombres, clases"
existen diferentes errores al momento de interpretarlo la estructura de las clase con respecto a los atributos no se comprender en absoluto lo que se esta tratando de realizar,-1,"errores, momento"
se expresa correctamente al nombre cada metodo de cada una de las clases no se indica en si tiene algun argumento o si retorna algun tipo de variable  faltan algunas metodos con respecto a la funcionalidad de cada clase,0,"nombre, metodo"
se encuentra todo muy confuso y no hay coherencia entre las cardinalidades  roles no existe logica entre las relaciones de cada clase,-1,"coherencia, cardinalidades"
de forma global la valoracion de las clases se encuentran definidas de forma incorrecta que los nombres de las clases no empiezan con un letra minuscula y ciertos clases no presentan la estructura completa ya que no presentan atributos en ciertas clases,-1,"forma, valoracion"
en este diagrama de clases solo una clase presenta atributos y estos si se encuentran relacionados con la clase pero en las demas clases no se encuentran atributo lo que lleva a una mala estructura del diseno del diagrama de clases,0,"diagrama, clases"
a diferencia de los atributos los metodos si se encuentra en cada una de las clases pero en este caso solo presentan el nombre del metodo no presentan el tipo dato y el tipo de valor de retorno por otra parte la visibilidad de estos no estan adecuadas,-1,"diferencia, atributos"
las asociaciones implementadas en el diagrama de clases entre las clases tienen una definicion adecuada ya que el uso de la herencia presente e incorporada de forma adecuada las asociaciones se deberia estudiar un poco mas especificar mejor su uso,0,"asociaciones, diagrama"
en las clase no tiene relacion con lo descrito en la especificacion del caso de uso los sustantivo no empieza con mayuscula,-1,"clase, caso"
contiene  atributos entonces no esta descrito en la especificacion del caso de uso,-1,"atributos, descrito"
los metodos son verbos y representa claramente la propiedad de cada clase no especifica el funcionamiento,0,"metodos, verbos"
las asociaciones no estan bien aplicada en las clases del diagrama,-1,"asociaciones, clases"
los nombres de las clases son sustantivos no existe una clase para el vehiculo que se debe reservar la clase reserva no tiene atributos la clase contrato no tiene atributo,-1,"nombres, clases"
los atributos no estan bien especificados en la clase cliente deberia tener atributos que pertenezcan a ese objeto sim embargo no existen lo mismo sucede con la clase administrador y trabajador,-1,"atributos, clase"
los metodos tiene argumento no tiene el tipo de datos no tiene el tipo de valor de retorno si cuentan con el tipo de visibilidad,-1,"metodos, argumento"
la direccion de navegacion de la herencia entre las clases usuario cliente trabajador y administrador no es la adecuada entre el cliente y la reserva existe una composicion lo cual nos indica que si el cliente no tiene una reserva no existen ninguna de las dos clases entre la clase trabajador y contrato tambien existe una composicion indicando que existe un error entre esas clases ya que si el trabajador no tiene un contrato no existen ninguna de las clases,-1,"direccion, navegacion"
en el presente diagrama de clases se pueden ver bien a detalle las clases pero sus atributos no existen dentro de las clases,0,"diagrama, clases"
no se presentan sus respectivos atributos ni tipos de datos estan faltantes en las clases,-1,"atributos, tipos"
los metodos utilizados no especifican la variable de retorno ni que tipo de funcion es ni tampoco el tipo de dato,-1,"metodos, retorno"
en el diagrama de clases presente se puede observar que la relacion esta bien detallada acorde al modelo de caso de uso especificado anteriormente se ha implementado el uso de la generalizacion para asi reutilizar partes de la clase padre,0,"diagrama, clases"
no todas las clases presentan atributos solo metodos los nombres de las clases no empiezan con mayuscula faltan clases importantes,-1,"clases, atributos"
no todas las clases presentan atributos,-1,"clases, atributos"
los metodos no indican el tipo de dato de retorno,-1,"metodos, tipo"
las cardinalidades no corresponden,-1,cardinalidades
los nombres de las clases no son adecuados los nombres de cada de una de las clases no empiezan con mayuscula en la mayoria de las clases no contiene atributos,-1,"nombres, clases"
la unica clase que contiene atributos es la clase usuario de lo cual no estan completos el tipo de dato de usuario de la clase usuario no es la adecuada,-1,"clase, atributos"
los nombres de los metodos tienen faltas ortograficas en algunas clases no contienen los metodos necesarios que se requieren,-1,"nombres, metodos"
las cardinalidades son usados correctamente no todos los roles se especifican adecuadamente,0,"cardinalidades, roles"
los nombres de las clases son adecuados son sustantivos y empieza con mayusculas,1,"nombres, clases"
solamente existe una clase que contiene incompletamente atributos que expresan la propiedad de su clase no se detectan todos los atributos,-1,"clase, atributos"
los nombres de los metodos son adecuados son verbos y expresan claramente una accion u operacion de la clase pero no se indica ni el tipo de dato ni el valor de retorno en cada metodo de acuerdo a las funcionalidades para cada objeto los metodos no son suficientes no indican funcionalidad completa de los requerimientos descritos,-1,"nombres, metodos"
la multiplicidad de las clases esta expresada correctamente en ambas direcciones,0,"multiplicidad, clases"
los nombres de las clases no son adecuados no inicializan con mayusculas los nombres de las clases no se contemplan de forma correcta la estructuras de las clases cada clase no tiene su estructura adecuada unas que otras no tienen sus atributos la informacion reportada no esta correctamente detallada y no es coherente,-1,"nombres, clases"
no existen atributos adecuados y en su mayoria de las clases no tienen no se indican los argumentos y tipo de datos de los atributos no existe una visibilidad adecuada no se han detectado todos los atributos correctamente,-1,"atributos, mayoria"
lo nombres de los metodos unos que otros no son adecuados aplican los verbos en las metodos pero no estan bien escritos no se indican los metodos y tipo de datos de los atributos los metodos no indican funcionalidad correcta de los requerimientos del caso,-1,"nombres, metodos"
las cardinalidades no se denotan en su mayoria correctamente los roles no se especifican correctamente la direcciones de navegacion de las clases no se especifican correctamente,-1,"cardinalidades, mayoria"
los nombres de las clases estan correctamente escritos,1,"nombres, clases"
los nombres de los adecuados cuentan con sus respectivos tipos de datos y su visibilidad es adecuada,1,"nombres, tipos"
los nombres son los adecuados cuentan con sus respectivos tipos de datos pero no cuenta con tipo de valor de retorno y cada metodo representan funcionalidades del sistema,0,"nombres, tipos"
las cardinalidades se denotan de forma correcta la direccion de navegacion de todas las asociaciones se especifica de forma correcta,1,"cardinalidades, forma"
sus clases estan colocadas de forma correcta indicando de cada uno sus atributos y metodos necesarios para su uso pero faltando una clase mas para que este completo si muestra coherencia en cada clase relacionada,0,"clases, forma"
si consta de todos sus atributos completos para cada clase indicando que son adecuadas formadas correctamente como sustantivos expresando una propiedad para la clase aunque hay duda en si la visibilidad es adecuada,1,"atributos, clase"
si se expresa con claridad las funcionalidades de cada metodo en la clases mencionadas pero no indican el tipo de dato y eso pone en duda la visibilidad de los metodos,0,"claridad, funcionalidades"
las cardinalidades aplicadas se entienden correctamente indicando los roles adecuados para cada uno de ellos pero las asociaciones no muestra mucha coherencia,0,"cardinalidades, roles"
los nombres de las clases estan en su totalidad en mayusculas si son sustantivos se detectan las clases correctas,1,"nombres, clases"
los atributos son adjetivos y sustantivos si expresan una accion de la clase tienen su tipo de dato colocado bien respectivamente y su visibilidad esta bien aplicada,1,"atributos, accion"
los metodos si tienen verbos pero no tienen tipo de dato tampoco valor de retorno pero la visibilidad si esta bien colocada,0,"metodos, verbos"
las cardinalidades si esta bien colocadas si tienen roles pero no esta muy claro pero considero q la navegacion si esta bien,0,"cardinalidades, roles"
los nombres de las clases estan asignados correctamente su estructura es correcta por lo que es facil de entender los atributos que manejan cada clase son coherentes segun lo que representa el objeto o nombre de la clase,1,"nombres, clases"
los atributos para cada clase son bastante adecuados si se especifica el tipo de dato para cada atributo de la clase los atributos si representan una propiedad del objeto o de la clase no se especifica la visibilidad de cada atributo,0,"atributos, clase"
los nombres de los metodos estan bien estructurados no se indica el tipo de argumentos que requiere el metodo tampoco se indica en los metodos el tipo de valor de retorno los metodos declarados son muy generalista por lo que seria mejor agregar mas metodos con una funcionalidad en especifico,0,"nombres, metodos"
la direccion de las asociaciones son correctas las cardinalidades en su mayoria se encuentran bien implementadas pero existen unas cardinalidades que estan erroneas lo que genera confusion,0,"direccion, asociaciones"
los nombres de las clases estan descritos con mayusculas falta una clase faltan metodos,-1,"nombres, clases"
faltan los atributos de la clase faltante en el diagrama de casos de uso,-1,"atributos, clase"
faltan los metodos de la clase faltante en el diagrama de casos de uso faltan metodos de las clases que constan en el diagrama no indica el tipo de datos de los metodos,-1,"metodos, clase"
faltan las asociaciones de la clase no descrita en el diagrama se consta de errores en la relacion de la clase contrato y reserva,-1,"asociaciones, clase"
el diagrama de clase consta con los nombres adecuados pero sin embargo todos estan en mayuscula y le faltan unos metodos a ciertas clases,0,"diagrama, clase"
el diagrama posee los nombres adecuados de los atributos con su respectivo tipo de dato,1,"diagrama, nombres"
el diagrama consta con el tipo de dato visibilidad  sin embargo faltan agregar mas metodos aciertas clases,0,"diagrama, tipo"
el diagrama posee correctamente las cardinalidades y las flechas estan correctas,1,"diagrama, cardinalidades"
posee una estructura correcta globalmente no se detectan todas las clases hacen falta algunas clases de importancia y existen algunos metodos incoherentes,0,"estructura, clases"
posee los atributos necesarios para cada clase pero al no estar completo no se encuentra la funcionalidad,0,"atributos, clase"
pose los metodos necesarios para cada clase pero al no estar completo no se encuentra la funcionalidad,0,"metodos, clase"
las cardinalidades se denotan correctamente pero al haber clases faltantes las relacion cambia totalmente por lo cual el diagrama tiene fallas notables y la direccion de navegacion cambia drasticamente,0,"cardinalidades, clases"
los nombres de las clases son adecuados pero estan complemente en mayuscula,0,"nombres, clases"
los atributos cubren las propiedades principales mas no todas asi mismo solo los atributos tiene tipo de datos asi mismo los datos de retorno no se pueden apreciar y no contienen tipo de dato la visibilidad si se puede apreciar superficialmente,-1,"atributos, propiedades"
los metodos desarrollados son apenas suficientes para representar las funcionalidades pertinentes los nombres de los metodos no contienen verbo en casi todos los casos los metodos no contienen argumentos con sus respectivos tipos de datos los metodos no contienen tipo de dato de retorno,-1,"metodos, funcionalidades"
la comunicacion se pudo haber mejorado mucho la relacion entre las clases reserva y contrato esta incorrecta y parece improvisada la cardinalidad de obligatoriedad es bastante discutible y ambigua la cardinalidad de relacion tiene solo errores puntuales como en la relacion entre las clases reserva y contrato,-1,"comunicacion, relacion"
el diagrama consta con los nombres de las clases correctos y todos estan en mayusculas esto ayuda el entendimiento del diagrama,1,"diagrama, nombres"
los atributos se expresan con claridad y poseen un nombre adecuado para cada clase posee el tipo de dato y su visualidad,1,"atributos, claridad"
los metodos estan correctos pues estan formados de verbos todos los metodos poseen su tipo de dato sin embargo faltan anadir ciertos metodos a algunas clases,0,"metodos, correctos"
todas las clases poseen las direcciones de navegacion entre todas las asociaciones las cardinalidades estan correctas los roles mostrados son los necesarios par el correcto funcionamiento del sistema,1,"clases, direcciones"
no todos los nombres de la clases cumplen con los requisitos ya que algunos no son sustantivos sino que verbos pero si indica la estructura adecuada de los atributos y metodos,0,"nombres, clases"
los nombres de los atributos expresan una propiedad de la clase y se indican adecuadamente todo los puntos que lo definen,1,"nombres, atributos"
los nombres de los metodos estan bien definidos pero no indica el tipo de dato pero si indica la visibilidad adecuada,0,"nombres, metodos"
todas las cardinalidades roles y direccion de navegacion se denotan adecuadamente,1,cardinalidades
el nombre de las clases estan mal porque se encuentran con letras mayusculas no se encuentran todas las clases de este caso practico la estructura de cada uno de las clases estan mal definidas existen clases nuevas que no pertenecen al caso practico,-1,"nombre, clases"
los estructura de los nombre de los atributos estan definidos correctamente el argumento de cada uno estan un poco confuso al momento de tratar de seguir el flujo no se detecto todos los atributos con sus tipo de datos que corresponde a cada clase,0,"estructura, nombre"
la estructura de los metodos estan definida correctamente existen metodos que no se encuentran definidos para realizar el caso practico,-1,"estructura, metodos"
la cardinalidad de cada clase esta mal definida los roles de cada una de las clases no existen no existen asociaciones al momento de entrelazar una clase con otra,-1,"cardinalidad, clase"
los nombres de las clase estan correctamente planteadas  se detectan que el numero de clases son las idoneas,1,"nombres, clase"
el nombre de los atributos planteados en el diagrama son correctos asi como el tipo de datos y su visibilidad,1,"nombre, atributos"
los nombres de los metodos son correctos cuentan con sus respectivos tipos de datos y tipo de valor de retorno y cada metodo representan funcionalidades del sistema,1,"nombres, metodos"
la cardinalidades estan correctas y existe una correcta comunicacion entre clases,1,"cardinalidades, correctas"
los nombres de las clases son adecuados y cumplen con el formato requerido todas las clases poseen una estructura adecuada los atributos y metodos especificados son importantes y necesarios la informacion es detallada y coherente,1,"nombres, clases"
los nombres de los atributos son adecuados expresan claramente una propiedad propia de la clase los tipos de datos especificados son adecuados y poseen una visibilidad adecuada,1,"nombres, atributos"
